baseline_question,variant_index,strategy,question,answer,ground_truth,consistency_rate
is the pleural effusion bilateral?,0,baseline,is the pleural effusion bilateral?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,1,synonym replacement,Is the pleural effusion present on both sides?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,2,phrasing variation + synonym replacement,Does the pleural effusion involve both pleural spaces?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,3,register shift (more technical) + synonym replacement,Is the pleural effusion affecting both hemithoraces?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,4,phrasing variation,Is the pleural effusion present bilaterally?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,5,voice change,Is bilateral involvement present for the pleural effusion?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,0,baseline,is the pleural effusion bilateral?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,1,Synonym replacement and phrasing variation,Is the pleural effusion present bilaterally?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,2,Synonym replacement,Does the pleural effusion involve both hemithoraces?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,3,Synonym replacement and phrasing variation,Is the pleural effusion present in both pleural spaces?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,4,Register shift and phrasing variation,Can the pleural effusion be considered bilateral?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,5,Phrasing variation using existential construction,Is there a bilateral pleural effusion?,no,yes,0.9444444444444444
is the pleural effusion bilateral?,0,baseline,is the pleural effusion bilateral?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,1,Synonym replacement + phrasing variation,Is the pleural effusion present on both sides?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,2,Synonym replacement + register shift (more clinical),Does the pleural effusion involve both hemithoraces?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,3,Phrasing variation,Is the pleural effusion bilateral in distribution?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,4,Voice change (passive) + synonym replacement,Is the pleural effusion observed bilaterally?,yes,yes,0.9444444444444444
is the pleural effusion bilateral?,5,Question construction variation + register shift,Would you describe the pleural effusion as bilateral?,yes,yes,0.9444444444444444
is there air collection?,0,baseline,is there air collection?,yes,no,1.0
is there air collection?,1,Phrasing variation (existential recast),Does air collection exist?,yes,no,1.0
is there air collection?,2,Synonym replacement,Is air collection present?,yes,no,1.0
is there air collection?,3,Phrasing variation (quantifier),Is there any air collection?,yes,no,1.0
is there air collection?,4,Clause reordering (noun phrase restructuring),Is there collection of air?,yes,no,1.0
is there air collection?,5,Register shift (more formal framing),Is it the case that there is air collection?,yes,no,1.0
is there atelectasis in the bibasilar area?,0,baseline,is there atelectasis in the bibasilar area?,yes,yes,1.0
is there atelectasis in the bibasilar area?,1,Phrasing variation,Does the bibasilar region show atelectasis?,yes,yes,1.0
is there atelectasis in the bibasilar area?,2,Synonym replacement (bibasilar→bilateral lung bases),Is atelectasis present in the bilateral lung bases?,yes,yes,1.0
is there atelectasis in the bibasilar area?,3,Clause reordering,"At the lung bases bilaterally, is there atelectasis?",yes,yes,1.0
is there atelectasis in the bibasilar area?,4,Synonym replacement (atelectasis→atelectatic changes),Are there bibasilar atelectatic changes?,yes,yes,1.0
is there atelectasis in the bibasilar area?,5,Voice change and phrasing variation,Is the bibasilar region affected by atelectasis?,yes,yes,1.0
is there atelectasis in the bibasilar area?,0,baseline,is there atelectasis in the bibasilar area?,yes,yes,1.0
is there atelectasis in the bibasilar area?,1,Phrasing variations,Is atelectasis present in the bibasilar region?,yes,yes,1.0
is there atelectasis in the bibasilar area?,2,Clause reordering,"In the bibasilar area, is atelectasis present?",yes,yes,1.0
is there atelectasis in the bibasilar area?,3,Voice changes,Does the bibasilar region show atelectasis?,yes,yes,1.0
is there atelectasis in the bibasilar area?,4,Synonym replacement,Is there atelectasis at both lung bases?,yes,yes,1.0
is there atelectasis in the bibasilar area?,5,Register shifts,Do the lung bases bilaterally demonstrate atelectasis?,yes,yes,1.0
is there atelectasis in the bibasilar area?,0,baseline,is there atelectasis in the bibasilar area?,yes,yes,1.0
is there atelectasis in the bibasilar area?,1,Phrasing variation; register shift to concise form,Is bibasilar atelectasis present?,yes,yes,1.0
is there atelectasis in the bibasilar area?,2,Synonym replacement ('show' for 'is there'); phrasing variation,Does the bibasilar region show atelectasis?,yes,yes,1.0
is there atelectasis in the bibasilar area?,3,Synonym replacement ('both lung bases' for 'bibasilar area'),Is there atelectasis at both lung bases?,yes,yes,1.0
is there atelectasis in the bibasilar area?,4,Clause reordering; synonym replacement ('bilateral lung bases' for 'bibasilar area'),Is there atelectasis involving the bilateral lung bases?,yes,yes,1.0
is there atelectasis in the bibasilar area?,5,Synonym replacement ('bases of both lungs' for 'bibasilar area'); phrasing variation,Is atelectasis present in the bases of both lungs?,yes,yes,1.0
is there atelectasis in the left base area?,0,baseline,is there atelectasis in the left base area?,yes,yes,1.0
is there atelectasis in the left base area?,1,Synonym replacement,Is there atelectasis at the left basal area?,yes,yes,1.0
is there atelectasis in the left base area?,2,Voice change (active) and phrasing variation,Does the left base area show atelectasis?,yes,yes,1.0
is there atelectasis in the left base area?,3,Phrasing variation,Is atelectasis present in the left base area?,yes,yes,1.0
is there atelectasis in the left base area?,4,Clause reordering,"In the left base area, is there atelectasis?",yes,yes,1.0
is there atelectasis in the left base area?,5,Voice change (passive/causative phrasing),Is the left base area affected by atelectasis?,yes,yes,1.0
